60200205;Castelligasse
60200206;Celtesgasse
60200207;Hafen Freudenau
60200208;Chimanistraße
60200209;Cobenzl Parkplatz
60200210;Cobenzlgasse
60200211;Columbusplatz
60200212;Computerstraße
60200213;Concordiaplatz
60200214;Corvinusgasse
60200215;Cottagegasse
60200216;Cottagestraße
60200217;Czartoryskigasse
60200218;Dahliengasse
60200219;Dammstraße
60200220;Dampfkraftwerk
60200221;Dampfschiffhaufen
60200222;Danzergasse
60200223;Daphneweg
60200224;Daringergasse
60200225;Davidgasse
60200226;Deindorfstraße
60200227;Deißenhofergasse
60200228;Heizwerkstraße
60200229;Dietmayrgasse
60200230;Dirnelwiese
60200231;Dobrowskygasse
60200232;Zehdengasse
60200233;Dommayergasse
60200234;Donauinsel
60200235;Floridsdorfer Brücke
60200236;Donaustadtstraße
60200237;Donauwarte
60200238;Siebeckstraße
60200239;Dopschstraße
60200240;Dorfmeistergasse
60200241;Dornbacher Straße
60200242;Dostalgasse
60200243;Dostgasse
60200244;Dr.-Adolf-Schärf-Heim
60200245;Stubentor
60200246;Ring, Volkstheater
60200247;Dr.-Neumann-Gasse
60200248;Dr.-Schober-Straße
60200249;Draugasse
60200250;Dunantgasse
60200251;Dänenstraße
60200252;Döblinger Bad
60200253;Döblinger Friedhof
60200254;Döblinger Steg
60200255;Dörmanngasse
60200256;Kraftwerk Simmering
60200257;Eberstorferweg
60200258;Edelsteingasse
60200259;Edenstraße
60200260;Strebersdorf, Meriangasse
60200261;Eduard-Kittenberger-Gasse
60200262;Albrechtskreithgasse
60200263;Egon-Friedell-Gasse
60200264;Eibesbrunnergasse
60200265;Eibischweg
60200266;Eichbachgasse
60200267;Eichenstraße
60200268;Einsiedeleigasse
60200269;Einsiedlerplatz
60200270;Luzegasse
60200271;Eipeldauer Straße
60200272;Eisenstadtplatz
60200273;Eisstoßgasse
60200274;Elderschplatz
60200275;Elsbeergasse
60200276;Elterleinplatz
60200277;Embelgasse
60200278;Endemanngasse
60200279;Therese-Ammon-Park
60200280;Brigittenauer Brücke
60200281;Englisch-Feld-Gasse
60200282;Donaumarina
60200283;Erdbergstraße, Schlachthausgasse
60200285;Erlaaer Straße
60200286;Erlachplatz
60200287;Erndtgasse
60200288;Erzherzog-Karl-Straße
60200289;Erdberg
60200290;Donaustadtbrücke
60200291;Eselstiege
60200292;Eslarngasse
60200293;Esterházygasse
60200294;Etrichstraße
60200295;Daumegasse
60200296;Evangelischer Friedhof
60200297;Eßling, Schule
60200298;Eßling Friedhof
60200299;Aspernstraße
60200300;Fasangasse
60200301;Heiligenstadt, 12.-Februar-Platz
60200302;Diesterweggasse
60200303;Wattmanngasse, Elisabethallee
60200304;Döblinger Friedhof, Felix-Dahn-Str.
60200305;Felmayergasse
60200306;Fendigasse
60200307;Sonnleithnergasse
60200308;Gspöttgraben
60200309;Fernsprechamt Heiligenstadt
60200310;Ferry-Dusika-Stadion
60200311;Feuerwache Am Steinhof
60200312;Feuerwache Grinzing
60200314;Fickeysstraße
60200315;Filmteichstraße
60200316;Finsterbuschstraße Nord
60200317;Billgasse
60200318;Löschniggasse
60200319;1. Haidequerstraße Mitte
60200320;Dammhaufengasse
60200321;Pfarrgasse, Traviatagasse
60200322;Zimbagasse
60200323;Auhof
60200324;1. Haidequerstraße Süd
60200325;Giefinggasse
60200326;Firma Perfekta
60200327;Kaltenleutgebner Straße 16/141
60200328;Heinrich-von-Buol-Gasse
60200329;Fischergrund
60200330;Fichtnergasse
60200331;Florian-Geyer-Gasse
60200332;Florian-Hedorfer-Straße
60200333;Florianigasse
60200334;Floridsdorf
60200335;Lafitegasse
60200336;Flotowgasse
60200337;Flugfeldstraße
60200338;Baumgartner Friedhof, 5. Tor
60200339;Flötzersteigbrücke
60200340;Mauerbachstraße/Baumschule
60200341;Forsthausgasse
60200342;Frachtenbahnhof Lobau
60200343;Franz-Asenbauer-Gasse
60200344;Klinik Favoriten
60200345;Franz-Josefs-Bahnhof
60200346;Klinik Landstraße
60200347;Franz-Pletersky-Weg
60200348;Franzensbrücke
60200349;Franzosenweg
60200350;Forchheimergasse
60200351;Freesienweg
60200352;Freiheitsplatz
